NAMA SATUAN PENDIDIKAN;BAHASA INDONESIA;BAHASA INGGRIS;MATEMATIKA;FISIKA;KIMIA;BIOLOGI;
SMA NEGERI 68;88,82;89,4;76,94;84,77;84,18;79,7;
SMA FRANSISKUS I;72,67;60,67;32,5;52,92;52,92;45,83;
SMA MUHAMMADIYAH 16;61,52;43,17;27,93;30,83;32,5;44,4;
SMA MUHAMMADIYAH I;67,56;50,69;33,32;32,19;46,25;43,72;
SMA PERGURUAN ADVENT SALEMBA;81,36;82,4;49,4;57;60;56,07;
SMA PERGURUAN ADVENT I;76,29;65,41;39,85;41,25;48,46;62,5;
SMA PSKD 1;74,46;66,62;40,58;45,63;56,43;43,33;
SMA PSKD 3;68;64,67;29,17;52,13;52,13;46,67;
SMA NEGERI 5;83,62;74,64;48,37;60;59,81;63,63;
SMA NEGERI 27;82,3;72,04;48,23;46,35;60,88;63,63;
SMA NEGERI 30;83,79;79,16;52,77;50,22;52,5;60,34;
SMA NEGERI 77;86,5;87,66;67,97;85,54;70,81;79,17;
SMA KRISTEN KANAAN;84,32;84,45;55,48;67,5;63,75;66,46;
SMA KARTINI 1;69,48;59,63;37,04;38,75;42,5;46,38;
SMA KRISTEN 3 BPK PENABUR;86,94;91,61;85,34;89,95;86,22;81,7;
SMA MUHAMMADIYAH 2;67,2;46,8;32,29;40;40,11;47,08;
SMA PASKALIS;75,17;57,17;38,96;38,75;40;47,5;
SMA PERGURUAN KSATRYA;74,86;56,23;35,64;36,67;43,96;48,53;
SMA TAMAN MADYA 1;68,69;48,8;33,07;40,5;47;58;
SMA TAMAN MADYA 5;62,57;45,43;37,98;35,71;45,43;45,43;
SMA NEGERI 1;86,15;84,14;59,34;65,64;67,5;65,33;
SMA NEGERI 10;79,24;62,54;38,24;41,25;49,58;53,53;
SMA NEGERI 20;80,61;65,68;40,76;40,31;46,72;49,73;
SMA ATTAQWA;65,17;44,22;31,74;40;36,82;41,85;
SMA BUDI MULIA;84,48;84,94;60,48;58,38;63,63;71,56;
SMA KRISTEN 2 BPK PENABUR;83,05;87,29;65,19;86,73;65,69;72,35;
SMA KRISTEN KARUNIA;83,5;90,75;78,75;86,67;90;83,33;
SMA SANTA URSULA;88,02;93,68;87,66;90,58;86,34;91,25;
SMA NEGERI 4;80,69;75,76;46,14;50,38;59,89;60,74;
SMA NEGERI 7;77,42;61,73;37,64;39,17;49,06;48,46;
SMA NEGERI 24;79,87;71,72;44,31;39,79;65;54,08;
SMA NEGERI 25;79,97;66,86;42,95;48,97;52,5;57,13;
SMA NEGERI 35;84,06;78,6;55,32;67,21;67,08;63,29;
SMA BUNDA MULIA;83,62;85,95;58,85;63,44;78,13;70,95;
SMA YP. IPPI PETOJO;68,26;45,85;32,12;36,67;42,5;47,21;
SMA KANISIUS;87,12;92,2;81,77;91,56;87,42;91,82;
SMA KRISTEN BETHEL;73,14;60;37,86;54,72;37,5;55,63;
SMA MUHAMMADIYAH 14;61,25;42,5;27,97;31,25;36,67;42,73;
SMA SAID NAUM;64,31;49,31;29,62;38,75;39,17;46,61;
SMA SANTO PAULUS;78;71,5;46,88;50;67,5;59;
SMA ST. BELLARMINUS;81,68;87,79;46,97;57,5;56,56;71,43;
SMA SUNDA KELAPA;69,44;51,6;32,2;37,5;43,89;46,83;
SMA TARSISIUS I;82,36;87,27;52,84;44,69;62,92;59,06;
SMA SANTA THERESIA;85,52;88,88;65,76;75;82,16;84,94;
SMA KRISTEN KETAPANG I;85,62;84,57;76,31;80,5;90;69,04;
SMA MAHATMA GANDHI SCHOOL;81,13;88,44;60,63;56,25;64,29;66,9;
SMA UNIVERSAL;83,59;91,72;76,81;76,25;79,17;80,83;
SMA HATI SUCI;84,8;69,6;46,5;64,35;55,63;60;
SMA PSKD MANDIRI;88;92;62,5;78,75;72,5;78,75;
SMA KRISTEN CALVIN;85,38;93,69;72,12;79,17;72,25;86,43;
MA NEGERI 3 JAKARTA;75,24;58,21;38,29;39,03;53,04;49,89;
MA JAMIAT KHEIR;71,25;55,75;33,44;44;42,5;41,25;
MA AL-MUDDATSIRIYAH;65,49;43,54;30,29;34,17;36,43;40,13;
THE GANDHI MEMORIAL INTERNATIONAL SCHOOL;64,46;87,46;42,21;39,17;55,83;54,25;
SMA NEGERI 52;83,32;78,36;55,95;59,29;68,41;74,79;
SMA NEGERI 69;66;43,44;32,75;31,05;47,08;44,6;
SMA NEGERI 73;77,91;64,86;45,51;55,96;57,89;54,54;
SMA NEGERI 75;80,35;71,59;48,83;60;52,4;64,68;
SMA NEGERI 83;76,93;59,49;39,4;38,16;48,88;53,2;
SMA NEGERI 92;79,06;62,89;48,45;43,33;55,27;54,03;
SMA NEGERI 114;75,83;57,66;39,43;39,38;46,97;55,8;
SMA NEGERI 115;74,76;55,73;39,76;41,43;45,76;51,49;
SMA NURUL FALAH;59,55;43,5;29,69;42,61;32,08;38,68;
SMA NUSANTARA;60,32;40,21;31,58;42,93;42,93;39,61;
SMA NEGERI 13;85,92;84,9;65,76;64,77;73,4;75,48;
SMA NEGERI 45;78,62;66,99;41,38;47,54;60;52,15;
SMA NEGERI 72;79,56;76,63;47,85;45,13;51,05;62,5;
SMA NEGERI 110;79,83;65,1;47,75;59;59,52;58,95;
SMA AL-KHAIRIYAH;70,48;51,1;31,64;33,57;37,14;47,67;
SMA DON BOSCO 1;83,77;85,54;69,62;77,32;85;82,81;
SMA FONS VITAE 2;78;72,38;49,71;63,21;46,67;57,66;
SMA KRISTEN 5 BPK PENABUR;86,6;92,51;79,66;90,29;84,79;84,36;
SMA PGRI 12;70,88;55,88;38,13;39,64;52,24;47,5;
SMA TANJUNG PRIOK;59,75;47,58;31,35;33,5;35,63;39,5;
SMA TUNAS KARYA;73,5;69;41,88;60,63;42,5;63,33;
SMA YUSHA;56,82;45,36;30,11;42,65;42,65;38,3;
SMA ISLAM AL-AZHAR KELAPA GADING;77,93;77,58;44,12;42,69;66,25;55,38;
SMA NEGERI 15;76,54;61,96;39,67;36,58;52,06;48,94;
SMA NEGERI 18;76,2;62,31;40,35;43,57;53,33;55,94;
SMA NEGERI 40;78,33;65,45;43,43;47,75;56,43;51,47;
SMA NEGERI 80;81,69;71,44;43,97;45,36;51,42;60,88;
SMA NEGERI 111;77,22;59,03;42,71;57,14;55;56;
SMA CHANDRA KUSUMA;78,4;80,4;60;56,67;45;55;
SMA DHARMA BUDHI BHAKTI;84,59;87,41;56,03;62,5;76,25;71,11;
SMA DHARMA PUTRA;62,3;46,15;30,83;32,5;36,67;39,29;
SMA DARMA SATRIA  PERSADA;83,33;86;61,17;75;64,29;62,5;
SMA DIAKONIA;73,6;78,2;55,5;48,75;75;68,33;
SMA GANDHI ANCOL;81,73;89,51;64,39;67,37;40,63;72,32;
SMA GITA KIRTTI 2;68,22;43,56;37,5;39;37,5;45,25;
SMA SAINT NICHOLAS;81,73;93,09;73,18;71;77,5;69,33;
SMA KRISTEN YUSUF;86,15;90,92;92,31;82,14;87,83;72,5;
SMA PERMAI;85,06;87,8;68,77;80,43;81,67;75,9;
SMA PERMATA INDAH;82,56;76,4;60,1;69,27;64,23;51,25;
SMA PUSAKA ABADI;81,6;80,5;66,63;56,88;70;66,79;
SMA SANTO LUKAS I;76,82;67,53;33,24;39,17;47,5;61,07;
SMA STELLA MARIS;74,6;66;42,75;65;51,88;49,38;
SMA TARAKANITA 2;82,38;87,31;66,49;65,68;79,11;80,63;
SMA WIJAYA;64,44;42,11;28,89;44,38;38,33;42,83;
SMA WIJAYAKUSUMA;63,23;43,54;30,77;35;36,25;49,29;
SMA YAPPENDA;66,15;45,94;32,24;34,11;39,38;40,92;
