NAMA SATUAN PENDIDIKAN;BID_IPS;BING_IPS;MAT_IPS;EKO;SOS;GEO;BID_IPA;BING_IPA;MAT_IPA;FIS;KIM;BIO;
D ROYAL MOROCO INTERNATIONAL ISLAMIC SCHOOL;76;86;35;71,25;88;71,25;70,00;88,00;55,00;62,00;35,00;62,00;
JAKARTA TAIPEI SCHOOL;54,50;81;41,88;56,97;51,33;48;57,50;93,00;44,38;43,75;60,29;48,75;
MA AL-FALAH;69,25;52,66;35,25;50,73;60,67;64,60;76,21;62,41;39,22;42,50;44,69;50,29;
MA AL-KHAIRIYAH;64,05;46;32,50;52;53,88;56,00;67,58;49,58;30,66;35,00;42,50;42,50;
MA AL-KHAIRIYAH JAKARTA SELATAN;61,48;41,93;30,74;43,33;55,14;40,20;67,03;51,13;32,63;37,50;32,50;44,31;
MA AL-MUDDATSIRIYAH;62,32;45,42;29,68;43,89;52,32;52,67;65,49;43,54;30,29;34,17;36,43;40,13;
MA AL-WATHONIYAH 43;55,54;37,37;31,60;42;44,36;47,60;66,09;39,73;29,20;35,83;35,50;47,32;
MA AL FALAH KLENDER;62;43,91;30,34;47,48;51,06;62,40;70,21;49,05;33,29;34,17;37,50;44,62;
MA AL HAMID;69,02;45,83;35,11;52,81;60,57;52,72;75,75;58,88;36,91;36,43;41,61;54,48;
MA AL HIDAYAH;58,15;43,28;34,01;46,50;51,59;52,50;62,69;45,60;31,91;42,50;38,27;46,42;
MA AL KENANIYAH;63,07;45,60;30,67;50,50;49,38;42;72,93;49,47;34,58;43,93;50,04;42,93;
MA AL WATHONIYAH 5;49,05;35,05;28,55;38,64;41,89;38,64;64,93;45,07;33,67;47,54;47,54;46,50;
MA ANNAJAH;66,31;59,37;32,43;51,04;55,90;50,80;73,20;63,66;41,64;37,81;45,31;48,03;
MA ANNIDA AL-ISLAMY;67,49;47,28;34,29;47,50;60;50,29;70,24;52,59;32,50;31,25;47,50;48,16;
MA AS-SYAFIIYAH 01;65,52;44,48;31,10;55;51,14;44;67,76;48,12;32,27;48,69;48,69;46,59;
MA CITRA CENDEKIA;80,72;69,28;47;73,21;79,17;65,67;79,86;70,71;46,61;47,08;50,00;60,00;
MA JAMIAT KHEIR;64,27;47,27;31,75;48,33;52,78;52;71,25;55,75;33,44;44,00;42,50;41,25;
MA MANARATUL ISLAM;62,41;44,68;31,17;45,83;52,86;50,36;69,71;51,33;32,90;33,06;42,81;45,42;
MA MANBAUL ULUM ASSHIDDIQIYAH;63,50;43,96;32,24;65;56,46;49,80;65,61;48,00;33,59;36,35;27,50;38,59;
MA MIFTAHUL UMAM;60,41;38,31;32,56;50;51,33;47,20;67,78;49,78;34,72;32,50;42,50;40,45;
MA NEGERI 1 JAKARTA;56,48;42,41;32,67;52,31;49,70;51,47;69,05;46,56;31,48;36,25;46,39;42,63;
MA NEGERI 10 JAKARTA;72,12;56,32;42,06;61,39;62,87;60,18;80,76;69,10;52,96;46,88;60,00;62,50;
MA NEGERI 11 JAKARTA;75,29;54,99;37,67;63,27;61,07;57,26;80,06;61,83;39,30;43,59;55,91;58,30;
MA NEGERI 12 JAKARTA;72,26;51,89;37,11;57,86;63,11;61,73;79,31;58,24;42,85;44,25;52,87;59,06;
MA NEGERI 13 JAKARTA;77,71;64,95;37,94;66,13;69,27;64,30;81,34;73,40;45,95;49,69;59,38;61,53;
MA NEGERI 14 JAKARTA;72,69;55,68;37,67;59,70;67,26;61,81;80,34;66,76;41,84;48,08;50,56;58,96;
MA NEGERI 15 JAKARTA;73,74;53,89;36,31;52,74;59,66;61,17;78,97;58,68;38,76;47,36;46,36;51,67;
MA NEGERI 16 JAKARTA;64,43;41,82;32,70;49,64;53,88;48,83;69,30;44,57;32,66;47,50;38,97;40,81;
MA NEGERI 17 JAKARTA;67,60;45,23;36,57;47,69;60,91;52,63;72,58;52,74;34,73;36,02;45,14;51,44;
MA NEGERI 18 JAKARTA;73,33;51,10;35,54;51,25;64,63;57,77;78,90;64,85;42,67;46,61;52,25;51,90;
MA NEGERI 19 JAKARTA;79,09;66,13;40,97;62,40;68,95;76,91;80,36;71,81;45,88;43,91;67,84;59,64;
MA NEGERI 2 JAKARTA;73,24;57,81;40,74;51,53;66;60;77,44;63,21;42,28;55,42;50,83;54,72;
MA NEGERI 20 JAKARTA;67,31;48,85;32,17;47,92;59,78;57,09;74,32;50,54;34,42;41,94;42,14;49,02;
MA NEGERI 21;69,08;50,38;33,78;61,58;59,90;56,67;72,95;56,07;35,85;41,79;38,61;52,99;
MA NEGERI 22 JAKARTA;68,29;49,04;33,60;54,52;58,55;57,78;71,40;50,90;34,96;37,97;45,36;49,94;
MA NEGERI 3 JAKARTA;71,72;52,14;34,44;57,63;60,74;54,78;75,24;58,21;38,29;39,03;53,04;49,89;
MA NEGERI 4 JAKARTA;80,19;74,43;48,82;69,53;69,84;71,44;81,44;77,90;52,81;58,52;65,97;65,57;
MA NEGERI 5;67,15;46,34;39,19;50,24;61,80;52,77;71,10;55,10;35,38;33,38;47,75;53,59;
MA NEGERI 6 JAKARTA;67,34;49,54;32,73;54;56,72;53;74,76;59,11;36,71;45,28;46,86;51,85;
MA NEGERI 7 JAKARTA;77,73;62,88;40,93;65,42;75,92;63,52;81,96;67,08;48,39;52,50;53,13;65,93;
MA NEGERI 8 JAKARTA;73,36;54,43;41,92;60;61;57,81;80,53;65,93;43,69;45,24;56,13;59,63;
MA NEGERI 9 JAKARTA;73,38;53,21;35,04;56,81;64,92;71,33;79,27;65,93;40,60;45,08;50,19;58,04;
MA NURUSSAADAH;67,36;46,64;36,48;42,50;62,46;59,33;71,80;52,80;34,63;37,50;59,17;45,00;
MA PERSIS 69;66,29;49,86;31,25;56,25;61,20;57,79;73,67;62,00;37,08;35,00;49,17;47,50;
MA PKU P. TIDUNG;54,27;38,40;28,50;45;48,18;57;63,43;46,14;31,61;47,57;47,57;49,11;
MA RAUDHATUL JANNATINNAIM;54,85;39,77;29,52;38,47;49,50;41,50;56,00;38,95;31,43;37,00;39,38;40,83;
MA SAADATUDDARAIN;59,35;43,44;31,73;56,67;52,41;50,89;66,57;50,80;35,86;36,88;42,50;47,92;
MA YAPIS;51,45;36,91;28,75;43,75;43,38;49;53,06;38,71;29,56;31,00;39,82;40,83;
MA.PEMBANGUNAN UIN;74,16;73,73;47,06;63,96;74,56;65,33;81,11;79,91;44,67;57,50;51,88;64,06;
MAS KHAIRUL UMMAH;56,81;39,48;31,57;46,50;53;38,29;67,52;40,24;29,80;31,07;30,00;43,83;
RAFFLES CHRISTIAN SCHOOL;71,40;91,20;53,50;58,50;62;69,09;73,06;92,47;52,79;46,88;47,50;76,67;
